name,address,lat,lon,phone,website,date added
Untied Rooftop,"LEVEL 4 400 BARANGAROO AV, BARANGAROO NSW 2000",-33.86553595,151.20216227,+61(02) 8322 2099,www.untiedsydney.com.au,19/03/2021
love.fish Barangaroo,"BARANGAROO ANADARA SHOP 7 23 BARANGAROO AV, BARANGAROO NSW 2000",-33.86401301,151.20139661,02 8077 3700,https://www.lovefish.com.au/,19/03/2021
Bourke Street Bakery Barangaroo,"BARANGAROO ANADARA SHOP 4 23 BARANGAROO AV, BARANGAROO NSW 2000",-33.86401301,151.20139661,+610296665777,www.bourkestreetbakery.com.au,19/03/2021
Muum Maam Barangaroo,"BARANGAROO ANADARA SHOP 6 23 BARANGAROO AV, BARANGAROO NSW 2000",-33.86401301,151.20139661,0282520121,www.muummaam.com.au,19/03/2021
KHOI,"SHOP R9.09 33  BARANGAROO AVENUE, BARANGAROO NSW 2000 AUSTRALIA",,,0280974369,www.khoi.sydney,19/03/2021
BARANGAROO HOUSE,"35 BARANGAROO AV, BARANGAROO NSW 2000",-33.86565214,151.20145785,0285875400,barangaroohouse.com.au,19/03/2021
LOTUS BARANGAROO,"8/9 WULUGUL WALK STREET, BARANGAROO NSW 2000 AUSTRALIA",,,02 8318 8605,https://www.lotusdininggroup.com/restaurant/barangaroo/,19/03/2021
BANKSII VERMOUTH BAR & BISTRO,"BARANGAROO ALEXANDER SHOP 11 33 BARANGAROO AV, BARANGAROO NSW 2000",-33.86401301,151.20139661,61280727037,www.banksii.sydney,19/03/2021
CIRRUS DINING,"BARANGAROO ANADARA SHOP 10 23 BARANGAROO AV, BARANGAROO NSW 2000",-33.86401301,151.20139661,0292200111,www.cirrusdining.com.au,19/03/2021
ZUSHI BARANGAROO TRADING PTY LTD,"BARANGAROO ALEXANDER SHOP 10 33 BARANGAROO AV, BARANGAROO NSW 2000",-33.86401301,151.20139661,0280727383,Zushi.com.au,19/03/2021
Chi by Lotus,"2 100 BARANGAROO  AVE, BARANGAROO  NSW 2000 AUSTRALIA",-33.8637934,151.20215,02 7227 6290,https://www.lotusdininggroup.com/restaurant/chibylotus/,19/03/2021
MARBLING PTY LTD,"5 TOWER 1, 100  BARANGAROO  AVE, BARANGAROO NSW 2000 AUSTRALIA",-33.8637934,151.20215,0292991532,http://www.marblebbq.com.au/,19/03/2021
Devon Cafe (Barangaroo),"TOWER 2 LEVEL 1 200 BARANGAROO AV, BARANGAROO NSW 2000",-33.86447182,151.20212843,0292624660,www.devoncafe.com.au,19/03/2021
THE PRECINCT BY TOBY'S ESTATE,"SHOP 10 300 BARANGAROO  AVENUE, BARANGAROO NSW 2000 AUSTRALIA",-33.86512545,151.202201,61410775015,amahospitality.com.au,19/03/2021
TOBY'S ESTATE BARANGAROO,"TOWER 2 200 BARANGAROO AV, BARANGAROO NSW 2000",-33.86447182,151.20212843,61410775015,www.amahospitality.com.au,19/03/2021
Ume Burger,"BARANGAROO ALEXANDER SHOP 6 33 BARANGAROO AV, BARANGAROO NSW 2000",-33.86401301,151.20139661,0481951920,www.umeburger.com,19/03/2021
LOTUS DUMPLING BAR,"UNIT 3 16 HICKSON RD, DAWES POINT NSW 2000",-33.85644245,151.20639261,02 9251 8328,https://www.lotusdininggroup.com/restaurant/lotus-walsh-bay/,19/03/2021
HARBOUR VIEW HOTEL,"HARBOUR VIEW HOTEL 18 LOWER FORT ST, DAWES POINT NSW 2000",-33.85674274,151.20736121,0292524111,www.harbourview.com.au,19/03/2021
The Bund Chinese Restaurant - Walsh Bay,"SHOP 2 16A HICKSON RD, DAWES POINT NSW 2000",-33.85644245,151.20639261,0292416558,www.thebundbyblossom.com,19/03/2021
BEIJING IMPRESSION MARKETCITY,"MARKET CITY 9-13 HAY ST, HAYMARKET NSW 2000",-33.8799521,151.2034355,0468926485,,19/03/2021
YUMMY ONE,"SHOP 9 107-121  QUAY STREET, HAYMARKET  NSW 2000 AUSTRALIA",-33.88238458,151.20328483,0292114952,,19/03/2021
Haven Darling w,"85 HARBOUR ST, HAYMARKET NSW 2000",-33.87834904,151.20315116,+61424887684,www.havenspecialtycoffee.com.au,19/03/2021
Bun Bo Hue Pho Gia Hoi,"711 GEORGE ST, HAYMARKET NSW 2000",-33.88070974,151.20452607,0292110221,,19/03/2021
MAMAK HAYMARKET PTY LIMITED,"15 GOULBURN ST, HAYMARKET NSW 2000",-33.87782349,151.20423098,0292111668,www.mamak.com.au,19/03/2021
DODEE PAIDANG HAYMARKET,"SHOP 9 37 ULTIMO RD, HAYMARKET NSW 2000",-33.88071866,151.20342504,02 80653827,https://do-dee-paidang-thai-restaurant.business.site/,19/03/2021
fatthaiger,"737-739 GEORGE ST, HAYMARKET NSW 2000",-33.8813425,151.20441203,02 92110254,www.fatthaiger.com,19/03/2021
EMPERORS GARDEN RESTAURANT,"EMPERORS GARDEN RESTAURANT 100 HAY ST, HAYMARKET NSW 2000",-33.87925352,151.20404048,0292112268,www.emperorsgarden.com.au,19/03/2021
Storehouse Sydney Central,"111 GOULBURN ST, HAYMARKET NSW 2000",-33.87791193,151.20636038,028272 3300,https://vibehotels.com/book-accommodation/sydney/hotel-sydney/storehouse-sydney-central/,19/03/2021
Pancakes On The Rocks Darling Square,"55 TUMBALONG BVD, HAYMARKET NSW 2000",-33.87853595,151.20175864,,www.pancakesontherocks.com.au,19/03/2021
Emperor's Garden BBQ and Noodle,"213-215 THOMAS ST, HAYMARKET NSW 2000",-33.8805246,151.20422787,+61408289928,www.emperorsgarden.com.au,19/03/2021
Exquisite Dining Pty Ltd,"1 LITTLE HAY ST, HAYMARKET NSW 2000",-33.8791173,151.20273826,+61478885781,,19/03/2021
Fugetsu ,"SHOP 16 LEVEL 3 9-13 HAY ST, HAYMARKET NSW 2000",-33.8799521,151.2034355,+61430351162,www.fugetsu.com.au,19/03/2021
Kusuka,"13 LITTLE HAY STREET, HAYMARKET NSW 2000 AUSTRALIA",-33.8791173,151.2027383,0280330532,www.kusuka.com.au,19/03/2021
TOBY'S ESTATE DARLING SQUARE,"SHOP 2 35 TUMBALONG BVD, HAYMARKET NSW 2000 AUSTRALIA",-33.87807965,151.20137342,0292814003,www.amahospitality.com.au,19/03/2021
